pin,slack
UART_interface_0/addr_decoder_0/red_const_o[0]:Q,5451
led_blink_0/counter[19]:ALn,
led_blink_0/counter[19]:CLK,6838
led_blink_0/counter[19]:D,7499
led_blink_0/counter[19]:Q,6838
dot_osd_integration_0/overlay/eng/in_box21_2:A,
dot_osd_integration_0/overlay/eng/in_box21_2:B,
dot_osd_integration_0/overlay/eng/in_box21_2:C,
dot_osd_integration_0/overlay/eng/in_box21_2:D,
dot_osd_integration_0/overlay/eng/in_box21_2:Y,
line_write_read_0/LCD_FSM_0/un1_s_state_12_0_a2:A,5600
line_write_read_0/LCD_FSM_0/un1_s_state_12_0_a2:B,5556
line_write_read_0/LCD_FSM_0/un1_s_state_12_0_a2:C,5454
line_write_read_0/LCD_FSM_0/un1_s_state_12_0_a2:D,4553
line_write_read_0/LCD_FSM_0/un1_s_state_12_0_a2:Y,4553
dot_osd_integration_0/tracker/glbl_min_y[11]:ALn,
dot_osd_integration_0/tracker/glbl_min_y[11]:CLK,6636
dot_osd_integration_0/tracker/glbl_min_y[11]:D,8830
dot_osd_integration_0/tracker/glbl_min_y[11]:EN,5612
dot_osd_integration_0/tracker/glbl_min_y[11]:Q,6636
dot_osd_integration_0/tracker/glbl_min_y[11]:SLn,6676
line_write_read_0/ramDualPort_0/ram_ram_0_0/CFG_33:B,8676
line_write_read_0/ramDualPort_0/ram_ram_0_0/CFG_33:C,8838
line_write_read_0/ramDualPort_0/ram_ram_0_0/CFG_33:IPB,8676
line_write_read_0/ramDualPort_0/ram_ram_0_0/CFG_33:IPC,8838
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m3:A,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m3:B,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m3:Y,
UART_interface_0/COREUART_C0_0/COREUART_C0_0/genblk1.RXRDY5:A,7903
UART_interface_0/COREUART_C0_0/COREUART_C0_0/genblk1.RXRDY5:B,7830
UART_interface_0/COREUART_C0_0/COREUART_C0_0/genblk1.RXRDY5:Y,7830
UART_interface_0/receive_data_0/state[17]:ALn,6376
UART_interface_0/receive_data_0/state[17]:CLK,6030
UART_interface_0/receive_data_0/state[17]:D,5645
UART_interface_0/receive_data_0/state[17]:EN,8609
UART_interface_0/receive_data_0/state[17]:Q,6030
line_write_read_0/WRITE_LSRAM_0/s_h_counter_cry[5]:B,4614
line_write_read_0/WRITE_LSRAM_0/s_h_counter_cry[5]:C,7695
line_write_read_0/WRITE_LSRAM_0/s_h_counter_cry[5]:FCI,4535
line_write_read_0/WRITE_LSRAM_0/s_h_counter_cry[5]:FCO,4535
line_write_read_0/WRITE_LSRAM_0/s_h_counter_cry[5]:S,4599
dot_osd_integration_0/tracker/out_glbl_max_y[14]:ALn,
dot_osd_integration_0/tracker/out_glbl_max_y[14]:CLK,
dot_osd_integration_0/tracker/out_glbl_max_y[14]:D,8850
dot_osd_integration_0/tracker/out_glbl_max_y[14]:EN,6943
dot_osd_integration_0/tracker/out_glbl_max_y[14]:Q,
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/CFG_6:B,6353
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/CFG_6:C,5364
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/CFG_6:IPB,6353
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/CFG_6:IPC,5364
line_write_read_0/Image_Enhancement_0/H_COUNTER.s_bout_4_iv[3]:A,7925
line_write_read_0/Image_Enhancement_0/H_COUNTER.s_bout_4_iv[3]:B,6763
line_write_read_0/Image_Enhancement_0/H_COUNTER.s_bout_4_iv[3]:C,7868
line_write_read_0/Image_Enhancement_0/H_COUNTER.s_bout_4_iv[3]:Y,6763
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_265:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_265:IPB,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_265:IPC,
dot_osd_integration_0/overlay/eng/fnt/pixel_5_RNO:A,
dot_osd_integration_0/overlay/eng/fnt/pixel_5_RNO:B,
dot_osd_integration_0/overlay/eng/fnt/pixel_5_RNO:C,
dot_osd_integration_0/overlay/eng/fnt/pixel_5_RNO:Y,
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/CFG_9:B,6340
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/CFG_9:C,5473
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/CFG_9:D,6300
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/CFG_9:IPB,6340
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/CFG_9:IPC,5473
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/CFG_9:IPD,6300
INIT_DONE_obuf/U0/U_IOENFF:A,
INIT_DONE_obuf/U0/U_IOENFF:Y,
dot_osd_integration_0/tracker/glbl_min_x[1]:ALn,
dot_osd_integration_0/tracker/glbl_min_x[1]:CLK,6476
dot_osd_integration_0/tracker/glbl_min_x[1]:D,8830
dot_osd_integration_0/tracker/glbl_min_x[1]:EN,5612
dot_osd_integration_0/tracker/glbl_min_x[1]:Q,6476
dot_osd_integration_0/tracker/glbl_min_x[1]:SLn,6676
line_write_read_0/LCD_FSM_0/un1_cs_o_1_sqmuxa_0_a7_0_5:A,6084
line_write_read_0/LCD_FSM_0/un1_cs_o_1_sqmuxa_0_a7_0_5:B,6035
line_write_read_0/LCD_FSM_0/un1_cs_o_1_sqmuxa_0_a7_0_5:C,5960
line_write_read_0/LCD_FSM_0/un1_cs_o_1_sqmuxa_0_a7_0_5:D,5866
line_write_read_0/LCD_FSM_0/un1_cs_o_1_sqmuxa_0_a7_0_5:Y,5866
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/FF_32:IPENn,
dot_osd_integration_0/tracker/vsync_rise:A,4435
dot_osd_integration_0/tracker/vsync_rise:B,4347
dot_osd_integration_0/tracker/vsync_rise:Y,4347
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:CLK0,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:CLK1,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:CLK2,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:CLK3,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:GL0,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:GL1,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:GPD0_ARST_N,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:GPD1_ARST_N,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:GPD2_ARST_N,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:GPD3_ARST_N,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:LOCK,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:NGMUX0_ARST_N,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:NGMUX0_HOLD_N,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:NGMUX0_SEL,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:NGMUX1_ARST_N,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:NGMUX1_HOLD_N,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:NGMUX1_SEL,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:NGMUX2_ARST_N,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:NGMUX2_HOLD_N,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:NGMUX2_SEL,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:NGMUX3_ARST_N,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:NGMUX3_HOLD_N,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:NGMUX3_SEL,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:PADDR[2],
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:PADDR[3],
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:PADDR[4],
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:PADDR[5],
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:PADDR[6],
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:PADDR[7],
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:PCLK,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:PENABLE,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:PLL_ARST_N,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:PLL_BYPASS_N,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:PLL_POWERDOWN_N,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:PRESET_N,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:PSEL,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:PWDATA[0],
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:PWDATA[1],
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:PWDATA[2],
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:PWDATA[3],
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:PWDATA[4],
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:PWDATA[5],
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:PWDATA[6],
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:PWDATA[7],
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:PWRITE,
FlashFreeze_SB_0/CCC_0/CCC_INST/INST_CCC_IP:RCOSC_25_50MHZ,
apb3_if_0/data_o[6]:ALn,6376
apb3_if_0/data_o[6]:CLK,
apb3_if_0/data_o[6]:D,7399
apb3_if_0/data_o[6]:EN,3931
apb3_if_0/data_o[6]:Q,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_137:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_137:IPB,
dot_osd_integration_0/tracker/glbl_max_x6_cry_11:A,6616
dot_osd_integration_0/tracker/glbl_max_x6_cry_11:B,6600
dot_osd_integration_0/tracker/glbl_max_x6_cry_11:FCI,6424
dot_osd_integration_0/tracker/glbl_max_x6_cry_11:FCO,6424
line_write_read_0/LCD_FSM_0/s_ram_address_cry[4]:B,4484
line_write_read_0/LCD_FSM_0/s_ram_address_cry[4]:C,7666
line_write_read_0/LCD_FSM_0/s_ram_address_cry[4]:FCI,4424
line_write_read_0/LCD_FSM_0/s_ram_address_cry[4]:FCO,4424
line_write_read_0/LCD_FSM_0/s_ram_address_cry[4]:S,4499
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/FF_7:IPCLKn,
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/FF_7:IPENn,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_131:IPB,
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/sm0_areset_n_q1:ALn,6411
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/sm0_areset_n_q1:CLK,8856
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/sm0_areset_n_q1:Q,8856
dot_osd_integration_0/tracker/glbl_max_y[5]:ALn,
dot_osd_integration_0/tracker/glbl_max_y[5]:CLK,6504
dot_osd_integration_0/tracker/glbl_max_y[5]:D,8830
dot_osd_integration_0/tracker/glbl_max_y[5]:EN,5612
dot_osd_integration_0/tracker/glbl_max_y[5]:Q,6504
dot_osd_integration_0/tracker/glbl_max_y[5]:SLn,6676
data_o_obuf[1]/U0/U_IOENFF:A,
data_o_obuf[1]/U0/U_IOENFF:Y,
mux_2_1_0/cs_o:A,
mux_2_1_0/cs_o:B,
mux_2_1_0/cs_o:C,
mux_2_1_0/cs_o:Y,
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/FF_8:IPCLKn,
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/FF_8:IPENn,
dot_osd_integration_0/tracker/glbl_min_y[15]:ALn,
dot_osd_integration_0/tracker/glbl_min_y[15]:CLK,6700
dot_osd_integration_0/tracker/glbl_min_y[15]:D,8830
dot_osd_integration_0/tracker/glbl_min_y[15]:EN,5612
dot_osd_integration_0/tracker/glbl_min_y[15]:Q,6700
dot_osd_integration_0/tracker/glbl_min_y[15]:SLn,6676
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/FF_3:IPCLKn,
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/FF_3:IPENn,
dot_osd_integration_0/tracker/col_idx_RNITUOSV3[6]:B,4443
dot_osd_integration_0/tracker/col_idx_RNITUOSV3[6]:C,7596
dot_osd_integration_0/tracker/col_idx_RNITUOSV3[6]:FCI,4347
dot_osd_integration_0/tracker/col_idx_RNITUOSV3[6]:FCO,4347
dot_osd_integration_0/tracker/col_idx_RNITUOSV3[6]:S,4491
line_write_read_0/ramDualPort_0/ram_ram_0_0_OLDA[2]:CLK,6874
line_write_read_0/ramDualPort_0/ram_ram_0_0_OLDA[2]:D,5720
line_write_read_0/ramDualPort_0/ram_ram_0_0_OLDA[2]:Q,6874
line_write_read_0/LCD_FSM_0/un1_s_state_13_0:A,6937
line_write_read_0/LCD_FSM_0/un1_s_state_13_0:B,6721
line_write_read_0/LCD_FSM_0/un1_s_state_13_0:C,5704
line_write_read_0/LCD_FSM_0/un1_s_state_13_0:D,4548
line_write_read_0/LCD_FSM_0/un1_s_state_13_0:Y,4548
led_blink_0/un5_counter_1_cry_24:B,6918
led_blink_0/un5_counter_1_cry_24:FCI,6528
led_blink_0/un5_counter_1_cry_24:FCO,6528
led_blink_0/un5_counter_1_cry_24:S,7419
data_o_obuf[7]/U0/U_IOPAD:D,
data_o_obuf[7]/U0/U_IOPAD:E,
data_o_obuf[7]/U0/U_IOPAD:PAD,
line_write_read_0/Image_Enhancement_0/s_bout[4]:ALn,
line_write_read_0/Image_Enhancement_0/s_bout[4]:CLK,8650
line_write_read_0/Image_Enhancement_0/s_bout[4]:D,6763
line_write_read_0/Image_Enhancement_0/s_bout[4]:EN,8674
line_write_read_0/Image_Enhancement_0/s_bout[4]:Q,8650
dot_osd_integration_0/tracker/glbl_max_x[13]:ALn,
dot_osd_integration_0/tracker/glbl_max_x[13]:CLK,6632
dot_osd_integration_0/tracker/glbl_max_x[13]:D,8830
dot_osd_integration_0/tracker/glbl_max_x[13]:EN,5612
dot_osd_integration_0/tracker/glbl_max_x[13]:Q,6632
dot_osd_integration_0/tracker/glbl_max_x[13]:SLn,6676
dot_osd_integration_0/overlay/y_cnt_RNI3TB691[5]:B,6797
dot_osd_integration_0/overlay/y_cnt_RNI3TB691[5]:FCI,4672
dot_osd_integration_0/overlay/y_cnt_RNI3TB691[5]:FCO,4672
dot_osd_integration_0/overlay/y_cnt_RNI3TB691[5]:S,4720
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/CFG_34:IPB,
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/CFG_34:IPC,
line_write_read_0/Image_Enhancement_0/s_rout[4]:ALn,
line_write_read_0/Image_Enhancement_0/s_rout[4]:CLK,8696
line_write_read_0/Image_Enhancement_0/s_rout[4]:D,6763
line_write_read_0/Image_Enhancement_0/s_rout[4]:EN,8674
line_write_read_0/Image_Enhancement_0/s_rout[4]:Q,8696
line_write_read_0/LCD_FSM_0/START_GEN.data_o_13_iv_RNO[3]:A,4011
line_write_read_0/LCD_FSM_0/START_GEN.data_o_13_iv_RNO[3]:B,5805
line_write_read_0/LCD_FSM_0/START_GEN.data_o_13_iv_RNO[3]:Y,4011
dot_osd_integration_0/overlay/eng/char_sel[2]:A,
dot_osd_integration_0/overlay/eng/char_sel[2]:B,
dot_osd_integration_0/overlay/eng/char_sel[2]:C,
dot_osd_integration_0/overlay/eng/char_sel[2]:D,
dot_osd_integration_0/overlay/eng/char_sel[2]:Y,
UART_interface_0/receive_data_0/s_addr[1]:ALn,6376
UART_interface_0/receive_data_0/s_addr[1]:CLK,7684
UART_interface_0/receive_data_0/s_addr[1]:D,8830
UART_interface_0/receive_data_0/s_addr[1]:EN,7568
UART_interface_0/receive_data_0/s_addr[1]:Q,7684
dot_osd_integration_0/overlay/x_cnt[5]:CLK,5286
dot_osd_integration_0/overlay/x_cnt[5]:D,6570
dot_osd_integration_0/overlay/x_cnt[5]:Q,5286
dot_osd_integration_0/overlay/x_cnt[5]:SLn,
rs_o_obuf/U0/U_IOPAD:D,
rs_o_obuf/U0/U_IOPAD:E,
rs_o_obuf/U0/U_IOPAD:PAD,
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/FF_4:IPCLKn,
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/FF_4:IPENn,
UART_interface_0/addr_decoder_0/common_const_o[10]:ALn,6376
UART_interface_0/addr_decoder_0/common_const_o[10]:CLK,6405
UART_interface_0/addr_decoder_0/common_const_o[10]:D,8856
UART_interface_0/addr_decoder_0/common_const_o[10]:EN,5473
UART_interface_0/addr_decoder_0/common_const_o[10]:Q,6405
line_write_read_0/ramDualPort_0/ram_ram_0_0_OLDA[10]:CLK,5839
line_write_read_0/ramDualPort_0/ram_ram_0_0_OLDA[10]:D,5757
line_write_read_0/ramDualPort_0/ram_ram_0_0_OLDA[10]:Q,5839
FlashFreeze_SB_0/CCC_0/CCC_INST/IP_INTERFACE_7:IPA,
FlashFreeze_SB_0/CCC_0/CCC_INST/IP_INTERFACE_7:IPC,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_18:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_18:IPB,
dot_osd_integration_0/tracker/byte_phase_2_sqmuxa_i_0:A,6925
dot_osd_integration_0/tracker/byte_phase_2_sqmuxa_i_0:B,6586
dot_osd_integration_0/tracker/byte_phase_2_sqmuxa_i_0:C,7752
dot_osd_integration_0/tracker/byte_phase_2_sqmuxa_i_0:Y,6586
dot_osd_integration_0/overlay/eng/bcdx/bcd0_15[2]:A,
dot_osd_integration_0/overlay/eng/bcdx/bcd0_15[2]:B,
dot_osd_integration_0/overlay/eng/bcdx/bcd0_15[2]:C,
dot_osd_integration_0/overlay/eng/bcdx/bcd0_15[2]:D,
dot_osd_integration_0/overlay/eng/bcdx/bcd0_15[2]:Y,
line_write_read_0/LCD_FSM_0/s_state_ns_5_0_.m22_e_2:A,2785
line_write_read_0/LCD_FSM_0/s_state_ns_5_0_.m22_e_2:B,2707
line_write_read_0/LCD_FSM_0/s_state_ns_5_0_.m22_e_2:Y,2707
dot_osd_integration_0/tracker/col_idx_RNINGH5G4[7]:B,4459
dot_osd_integration_0/tracker/col_idx_RNINGH5G4[7]:C,7612
dot_osd_integration_0/tracker/col_idx_RNINGH5G4[7]:FCI,4347
dot_osd_integration_0/tracker/col_idx_RNINGH5G4[7]:FCO,4347
dot_osd_integration_0/tracker/col_idx_RNINGH5G4[7]:S,4475
line_write_read_0/double_flop_0/s_href:ALn,
line_write_read_0/double_flop_0/s_href:CLK,8856
line_write_read_0/double_flop_0/s_href:D,
line_write_read_0/double_flop_0/s_href:Q,8856
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m4:A,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m4:B,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m4:C,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m4:Y,
DATA_I_ibuf[2]/U0/U_IOPAD:PAD,
DATA_I_ibuf[2]/U0/U_IOPAD:Y,
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/FF_6:IPCLKn,
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/FF_6:IPENn,
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_26:IPB,
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_26:IPC,
led_blink_0/counter[22]:ALn,
led_blink_0/counter[22]:CLK,6886
led_blink_0/counter[22]:D,7451
led_blink_0/counter[22]:Q,6886
dot_osd_integration_0/tracker/out_glbl_max_y[15]:ALn,
dot_osd_integration_0/tracker/out_glbl_max_y[15]:CLK,
dot_osd_integration_0/tracker/out_glbl_max_y[15]:D,8850
dot_osd_integration_0/tracker/out_glbl_max_y[15]:EN,6943
dot_osd_integration_0/tracker/out_glbl_max_y[15]:Q,
line_write_read_0/ramDualPort_0/ram_ram_0_0/CFG_11:B,8704
line_write_read_0/ramDualPort_0/ram_ram_0_0/CFG_11:IPB,8704
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_64:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_64:IPB,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_15:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_15:IPB,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_108:IPA,
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/sm0_areset_n_clk_base_RNIPALD1/U0_RGB1:An,
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/sm0_areset_n_clk_base_RNIPALD1/U0_RGB1:YL,6409
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m67_2_1_1_wmux_0:A,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m67_2_1_1_wmux_0:B,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m67_2_1_1_wmux_0:C,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m67_2_1_1_wmux_0:D,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m67_2_1_1_wmux_0:FCI,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m67_2_1_1_wmux_0:Y,
UART_interface_0/receive_data_0/state[15]:ALn,6376
UART_interface_0/receive_data_0/state[15]:CLK,6042
UART_interface_0/receive_data_0/state[15]:D,8850
UART_interface_0/receive_data_0/state[15]:EN,8609
UART_interface_0/receive_data_0/state[15]:Q,6042
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_29:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_29:IPB,
dot_osd_integration_0/tracker/glbl_min_y7_cry_4:A,6524
dot_osd_integration_0/tracker/glbl_min_y7_cry_4:B,6468
dot_osd_integration_0/tracker/glbl_min_y7_cry_4:FCI,6404
dot_osd_integration_0/tracker/glbl_min_y7_cry_4:FCO,6404
line_write_read_0/LCD_FSM_0/data_o[6]:ALn,
line_write_read_0/LCD_FSM_0/data_o[6]:CLK,
line_write_read_0/LCD_FSM_0/data_o[6]:D,3832
line_write_read_0/LCD_FSM_0/data_o[6]:EN,4505
line_write_read_0/LCD_FSM_0/data_o[6]:Q,
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTIO1/CUARTll0l[2]:ALn,6376
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTIO1/CUARTll0l[2]:CLK,6780
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTIO1/CUARTll0l[2]:D,6939
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTIO1/CUARTll0l[2]:EN,7736
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTIO1/CUARTll0l[2]:Q,6780
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_62:IPA,
dot_osd_integration_0/overlay/eng/bcdx/bcd0_18_RNIGTCA81[1]:A,
dot_osd_integration_0/overlay/eng/bcdx/bcd0_18_RNIGTCA81[1]:B,
dot_osd_integration_0/overlay/eng/bcdx/bcd0_18_RNIGTCA81[1]:C,
dot_osd_integration_0/overlay/eng/bcdx/bcd0_18_RNIGTCA81[1]:D,
dot_osd_integration_0/overlay/eng/bcdx/bcd0_18_RNIGTCA81[1]:Y,
line_write_read_0/LCD_FSM_0/s_ram_address[6]:ALn,
line_write_read_0/LCD_FSM_0/s_ram_address[6]:CLK,2785
line_write_read_0/LCD_FSM_0/s_ram_address[6]:D,4469
line_write_read_0/LCD_FSM_0/s_ram_address[6]:EN,5556
line_write_read_0/LCD_FSM_0/s_ram_address[6]:Q,2785
H_REF_I_ibuf/U0/U_IOPAD:PAD,
H_REF_I_ibuf/U0/U_IOPAD:Y,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_269:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_269:IPB,
dot_osd_integration_0/overlay/eng/div3_x_1_0_.m6:A,
dot_osd_integration_0/overlay/eng/div3_x_1_0_.m6:B,
dot_osd_integration_0/overlay/eng/div3_x_1_0_.m6:C,
dot_osd_integration_0/overlay/eng/div3_x_1_0_.m6:Y,
line_write_read_0/WRITE_LSRAM_0/s_pclk_dly1:ALn,
line_write_read_0/WRITE_LSRAM_0/s_pclk_dly1:CLK,5650
line_write_read_0/WRITE_LSRAM_0/s_pclk_dly1:D,8823
line_write_read_0/WRITE_LSRAM_0/s_pclk_dly1:Q,5650
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m22:A,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m22:B,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m22:C,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m22:D,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m22:Y,
UART_interface_0/receive_data_0/state_ns_0_0[0]:A,6860
UART_interface_0/receive_data_0/state_ns_0_0[0]:B,6768
UART_interface_0/receive_data_0/state_ns_0_0[0]:C,6663
UART_interface_0/receive_data_0/state_ns_0_0[0]:D,6559
UART_interface_0/receive_data_0/state_ns_0_0[0]:Y,6559
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTOO1/genblk1.CUARTO0[7]:ALn,6376
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTOO1/genblk1.CUARTO0[7]:CLK,4477
