pin,slack
UART_interface_0/receive_data_0/state[8]:ALn,6376
UART_interface_0/receive_data_0/state[8]:CLK,5920
UART_interface_0/receive_data_0/state[8]:D,8850
UART_interface_0/receive_data_0/state[8]:EN,8609
UART_interface_0/receive_data_0/state[8]:Q,5920
cs_o_obuf/U0/U_IOPAD:D,
cs_o_obuf/U0/U_IOPAD:E,
cs_o_obuf/U0/U_IOPAD:PAD,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_174:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_174:IPB,
line_write_read_0/WRITE_LSRAM_0/s_data[14]:CLK,5440
line_write_read_0/WRITE_LSRAM_0/s_data[14]:D,8850
line_write_read_0/WRITE_LSRAM_0/s_data[14]:EN,6568
line_write_read_0/WRITE_LSRAM_0/s_data[14]:Q,5440
line_write_read_0/WRITE_LSRAM_0/s_data[14]:SLn,7332
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/sm0_areset_n_clk_base:A,
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/sm0_areset_n_clk_base:B,
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/sm0_areset_n_clk_base:Y,
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/MSS_HPMS_READY_int:ALn,7884
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/MSS_HPMS_READY_int:CLK,
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/MSS_HPMS_READY_int:D,6827
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/MSS_HPMS_READY_int:Q,
dot_osd_integration_0/overlay/eng/bcdy/bcd0_9_RNI2SL1N[2]:A,
dot_osd_integration_0/overlay/eng/bcdy/bcd0_9_RNI2SL1N[2]:B,
dot_osd_integration_0/overlay/eng/bcdy/bcd0_9_RNI2SL1N[2]:C,
dot_osd_integration_0/overlay/eng/bcdy/bcd0_9_RNI2SL1N[2]:D,
dot_osd_integration_0/overlay/eng/bcdy/bcd0_9_RNI2SL1N[2]:Y,
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/FF_34:IPENn,
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_11:B,6405
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_11:C,5484
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_11:D,6348
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_11:IPB,6405
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_11:IPC,5484
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_11:IPD,6348
FlashFreeze_SB_0/CCC_0/CCC_INST/IP_INTERFACE_3:IPA,
FlashFreeze_SB_0/CCC_0/CCC_INST/IP_INTERFACE_3:IPB,
FlashFreeze_SB_0/CCC_0/CCC_INST/IP_INTERFACE_3:IPC,
dot_osd_integration_0/overlay/eng/bcdy/bcd1_9_RNIGQT3K[1]:A,
dot_osd_integration_0/overlay/eng/bcdy/bcd1_9_RNIGQT3K[1]:B,
dot_osd_integration_0/overlay/eng/bcdy/bcd1_9_RNIGQT3K[1]:C,
dot_osd_integration_0/overlay/eng/bcdy/bcd1_9_RNIGQT3K[1]:D,
dot_osd_integration_0/overlay/eng/bcdy/bcd1_9_RNIGQT3K[1]:Y,
dot_osd_integration_0/overlay/x_cnt[6]:CLK,5886
dot_osd_integration_0/overlay/x_cnt[6]:D,4793
dot_osd_integration_0/overlay/x_cnt[6]:Q,5886
line_write_read_0/ramDualPort_0/ram_ram_0_0_OUTA[15]:A,6902
line_write_read_0/ramDualPort_0/ram_ram_0_0_OUTA[15]:B,4809
line_write_read_0/ramDualPort_0/ram_ram_0_0_OUTA[15]:C,6918
line_write_read_0/ramDualPort_0/ram_ram_0_0_OUTA[15]:Y,4809
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_276:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_276:IPB,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_276:IPC,
dot_osd_integration_0/tracker/glbl_max_y7_cry_10:A,6600
dot_osd_integration_0/tracker/glbl_max_y7_cry_10:B,6584
dot_osd_integration_0/tracker/glbl_max_y7_cry_10:FCI,6424
dot_osd_integration_0/tracker/glbl_max_y7_cry_10:FCO,6424
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/FF_27:IPENn,
line_write_read_0/Image_Enhancement_0/s_ram_addr[2]:ALn,
line_write_read_0/Image_Enhancement_0/s_ram_addr[2]:CLK,8856
line_write_read_0/Image_Enhancement_0/s_ram_addr[2]:D,8850
line_write_read_0/Image_Enhancement_0/s_ram_addr[2]:Q,8856
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m54_1_0_wmux_0:A,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m54_1_0_wmux_0:B,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m54_1_0_wmux_0:C,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m54_1_0_wmux_0:D,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m54_1_0_wmux_0:FCI,
dot_osd_integration_0/overlay/eng/fnt/col_6_1_.m54_1_0_wmux_0:Y,
line_write_read_0/LCD_FSM_0/s_state_ns_5_0_.m24_1:A,3542
line_write_read_0/LCD_FSM_0/s_state_ns_5_0_.m24_1:B,2707
line_write_read_0/LCD_FSM_0/s_state_ns_5_0_.m24_1:C,2490
line_write_read_0/LCD_FSM_0/s_state_ns_5_0_.m24_1:D,2396
line_write_read_0/LCD_FSM_0/s_state_ns_5_0_.m24_1:Y,2396
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/CFG_19:B,6724
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/CFG_19:IPB,6724
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/CFG_19:IPC,
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/CFG_19:IPD,
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/sm0_areset_n_RNI6L684/U0_RGB1:An,
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/sm0_areset_n_RNI6L684/U0_RGB1:YL,243
dot_osd_integration_0/tracker/out_glbl_max_y[12]:ALn,
dot_osd_integration_0/tracker/out_glbl_max_y[12]:CLK,
dot_osd_integration_0/tracker/out_glbl_max_y[12]:D,8850
dot_osd_integration_0/tracker/out_glbl_max_y[12]:EN,6943
dot_osd_integration_0/tracker/out_glbl_max_y[12]:Q,
line_write_read_0/WRITE_LSRAM_0/un6_ram_wr_en_o_0_a2:A,5650
line_write_read_0/WRITE_LSRAM_0/un6_ram_wr_en_o_0_a2:B,5684
line_write_read_0/WRITE_LSRAM_0/un6_ram_wr_en_o_0_a2:C,4544
line_write_read_0/WRITE_LSRAM_0/un6_ram_wr_en_o_0_a2:D,4510
line_write_read_0/WRITE_LSRAM_0/un6_ram_wr_en_o_0_a2:Y,4510
FlashFreeze_SB_0/CCC_0/CCC_INST/IP_INTERFACE_1:IPA,
FlashFreeze_SB_0/CCC_0/CCC_INST/IP_INTERFACE_1:IPB,
line_write_read_0/Image_Enhancement_0/s_ram_addr_dly[0]:ALn,
line_write_read_0/Image_Enhancement_0/s_ram_addr_dly[0]:CLK,4620
line_write_read_0/Image_Enhancement_0/s_ram_addr_dly[0]:D,8856
line_write_read_0/Image_Enhancement_0/s_ram_addr_dly[0]:Q,4620
dot_osd_integration_0/tracker/vsync_sr_2_RNIBUK01[0]:B,7554
dot_osd_integration_0/tracker/vsync_sr_2_RNIBUK01[0]:C,7497
dot_osd_integration_0/tracker/vsync_sr_2_RNIBUK01[0]:FCO,7497
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_285:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_285:IPB,
